bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_mean_ps,bidirectional_stddev_ps, bidirectional_max_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_ack_packets,src2dst_ack_packets,dst2src_ack_packets,label
20,7,3920,54,3,3102,560,1078.944432,2960,1034,1669.242188,2962,5.66666888,9.84737232,27,3,14,17.102293,20,6,3,3,0
25,7,3920,65,3,3306,580,1078.77828,2798,1034,1665.997223,2962,5.2333332,9.2473838,22,2,12,15.3838383,34,6,3,3,0
21,7,3877,68,3,3202,590,1078.239811,2866,1034,1674.439968,2962,6.444444333,10.37484737,24,4,15,17.733933,25,6,3,3,0
22,7,3907,67,3,3106,547,1078.688876,2964,1034,1689.152817,2962,5.9999444,9.847473721,21,3,12,14.929382,23,6,3,3,0
23,7,3887,35,3,3203,555.77654,1078.109523,2962,1034,1669.70177,2877,14,20.20890893,48,6,18,16.48343202,30,6,3,3,0
28,7,3880,36,3,3402,547.3229,1078.332664,2922,1034,1661.381218,2877,13,20.19302393,43,5,16,16.49382,32,6,3,3,0
27,7,3820,42,3,3203,579.9142,1078.122346,2945,1034,1648.777913,2877,11,19.383944,45,8,17,16.23032,27,6,3,3,0
23,7,3880,40,3,3203,540.8282,1062.132129,2960,1034,1676.89457,2877,14,20.48493939,49,3,18,16.93838,25,6,3,3,0
21,7,3907,42,3,3404,570.2928,1073.239372,2892,1034,1646.928588,2877,15,20.84847292,45,6,16,15.29292,35,6,3,3,0
20,7,3807,36,3,3020,553.8571429,1087.612234,2946,1034,1678.998765,2877,13,20.13735444,43,4,16,16.39265,25,6,3,3,0
25,7,3984,37,3,3015,568.1428571,1088.82213,2994,1034,1655.971176,2877,12,18.47478848,45,3,16,18.24323,34,6,3,3,0
21,7,3920,35,3,3104,559.7257,1078.872621,2920,1034,1675.633277,2877,16,22.47473985,47,2,17,18.83833,31,6,3,3,0
22,7,3920,34,3,3102,538.9223,1090.162728,2798,1034,1680.529877,2877,17,24.73834838,48,6,18,18.36633,25,6,3,3,0
26,7,3877,36,3,3184,533.42982,1078.541119,2870,1034,1664.581558,2877,14,18.88473838,44,8,17,17.38383,21,6,3,3,0
29,7,3807,34,3,3170,568.88571,1088.55316,2972,1034,1664.857812,2877,14,18.863632,43,5,15,16.21093,27,6,3,3,0
31,7,3887,32,3,3175,559.97257,1078.210952,2962,1034,1675.531271,2877,12,17.47489443,47,4,17,16.2892,20,6,3,3,0
33,7,3820,40,3,3102,561.2123,1072.987777,2922,1034,1664.452382,2877,13,17.35354644,49,8,18,17.9383,34,6,3,3,0
26,7,3910,41,3,3102,549.1482,1070.55464,2945,1034,1676.932328,2877,12,17.12474858,52,4,18,15.3937,21,6,3,3,0
23,7,3907,35,3,3202,567.2428,1071.167339,2950,1034,1684.372822,2877,15,21.44845757,46,9,15,15.9848,24,6,3,3,0
20,7,3807,36,3,3204,553.8571429,1082.977725,2792,1034,1673.92398,2877,16,21.85758888,43,4,16,16.6933,36,6,3,3,0
25,7,3984,37,3,3102,568.1428571,1073.239372,2932,1034,1683.57427,2877,15,21.46363738,47,6,17,18.39023,23,6,3,3,0
25,7,3920,34,3,3184,554.8571429,1087.612234,2984,1034,1674.422466,2877,15,21.45782933,42,5,14,13.48584,27,6,3,3,0
39,7,3920,36,3,3270,538.8223,1088.82213,2928,1034,1659.332292,2877,14,20.57352562,46,6,16,16.49393,25,6,3,3,0
28,7,3791,34,3,3175,559.8927,1078.129156,2798,1034,1675.222911,2877,15,21.4838378,48,3,19,14.92921,26,6,3,3,0
20,7,3909,32,3,3004,528.9812,1077.56678,2980,1034,1680.344918,2877,16,21.89484847,47,6,18,17.39283,24,6,3,3,0
25,7,3900,34,3,3102,572.1871,1078.198409,2980,1034,1679.714321,2877,14,20.3884946,45,3,17,16.3838,26,6,3,3,0
23,7,3888,36,3,3202,550.7182,1098.981241,2978,1034,1663.358213,2877,14,19.97667447,45,4,18,17.3039,22,6,3,3,0
27,7,3800,35,3,3304,539.9019,1078.76722,2948,1034,1681.782862,2877,16,21.83647372,43,6,16,15.3939,20,6,3,3,0
19,7,3809,24,3,3003,543.1428571,1020.198409,2870,1034,1469.16,2962,6.8961,4.9987666,16,8,8.9,2.776611,10,6,3,3,0
25,7,3907,25,3,3203,559.8475,1045.89112,2812,1034,1463.94,2962,7.4636,5.65785858,14,7,7.4,3.595822,7,6,3,3,0
18,7,3807,26,3,3002,548.568571,1030.89112,2865,1034,1473.12,2962,6.3723,6.575848843,13,7,6.7,3.93482,6,6,3,3,0
27,7,3984,22,3,3228,519.897257,1062.899811,2870,1034,1485.47,2962,5.5747,4.597595793,17,6,8.4,2.39492,8,6,3,3,0
25,7,3820,21,3,3103,546.7383,1106.822334,2882,1034,1499.64,2962,6.3893,5.46842863,18,9,9.2,4.33939,6,6,3,3,0
23,7,3890,23,3,3404,573.83782,1022.421781,2826,1034,1469.66,2962,6.4783,5.488584599,17,7,8.4,2.39032,8,6,3,3,0
20,7,3917,24,3,3028,519.72571,1040.19876,2874,1034,1475.38,2962,7.4734,6.478382874,16,7,9.6,4.193032,14,6,3,3,0
22,7,3907,27,3,3215,529.6398,1059.129111,2820,1034,1448.47,2962,5.1595,4.4994858,14,5,6.2,2.38939,11,6,3,3,0
26,7,3887,24,3,3102,561.91523,1022.966565,2848,1034,1454.32,2962,6.3629,5.884839389,18,8,9.9,4.95753,9,6,3,3,0
29,7,3820,25,3,3102,570.1482,1035.899432,2842,1034,1472.12,2962,7.4737,6.757483834,16,4,6.8,2.49418,10,6,3,3,0
21,7,3910,23,3,3104,567.2428,1076.878332,2972,1034,1465.98,2962,8.3764,7.4738364,17,6,8.5,3.38311,13,6,3,3,0
32,7,3809,25,3,3278,589.8652,1016.53388,2862,1034,1479.24,2962,5.4739,4.793747647,17,8,8.4,4.92299,11,6,3,3,0
27,7,3807,19,3,3175,523.837231,1032.121218,2852,1034,1463.46,2962,5.3521,4.48475563,19,9,9.5,4.848483,14,6,3,3,0
30,7,3880,20,3,3102,586.65429,1045.22112,2845,1034,1483.32,2962,6.3721,5.478383871,15,11,8.6,3.984848,10,6,3,3,0
21,7,3850,26,3,3102,535.8763,1010.113312,2850,1034,1475.87,2962,5.9457,4.484748489,17,7,8.3,4.27455,9,6,3,3,0
34,7,3920,27,3,3202,557.738927,1020.322449,2862,1034,1464.34,2962,5.2711,4.24748494,15,8,6.5,3.3938,12,6,3,3,0
19,7,3791,25,3,2904,540.8498,1106.822334,2932,1034,1483.2,2962,6.5732,5.234353782,16,10,7.6,3.82813,6,6,3,3,0
18,7,3795,23,3,2912,573.764571,1022.421781,2834,1034,1474.49,2962,6.2621,5.748832,16,6,6.4,2.572922,14,6,3,3,0
32,7,3900,27,3,3184,523.876257,1030.191174,2818,1034,1469.28,2962,5.6382,4.8847474,17,8,6.6,2.44945,10,6,3,3,0
28,7,3900,26,3,3270,578.5383,1010.129912,2798,1034,1476.26,2962,5.9282,4.7383847,15,5,8,3.49282,12,6,3,3,0
23,7,3890,25,3,3175,556.9827,1020.984437,2880,1034,1475.18,2962,5.8473,4.76475784,17,4,7.9,3.49505,15,6,3,3,0
25,7,3909,26,3,3004,562.754318,1025.912432,2780,1034,1477.47,2962,5.2727,4.224758829,18,7,6,2.49491,9,6,3,3,0
21,7,3902,27,3,3102,529.6198,1060.282762,2799,1034,1460.69,2962,4.6832,3.5774887,15,9,7.9,3.49595,11,6,3,3,0
20,7,3887,25,3,2990,554.18523,1016.53388,2848,1034,1482.16,2962,6.7382,5.686878773,15,6,9.7,4.77627,12,6,3,3,0
26,7,3820,26,3,3104,520.1872,1015.344989,2820,1034,1465.38,2962,5.9345,5.9345,17,7,8.6,4.2784,10,6,3,3,0
32,7,3990,24,3,2943,581.143298,1025.887827,2794,1034,1457.43,2962,5.6736,4.568575757,18,11,7.4,3.38252,9,6,3,3,0
30,7,3809,23,3,3280,529.675434,1108.817272,2820,1034,1467.41,2962,5.4761,4.685875751,16,7,8.5,4.92833,14,6,3,3,0
21,7,3807,21,3,3400,527.7621,1012.117763,2848,1034,1464.33,2962,5.3926,4.65757744,15,8,7.8,3.487728,10,6,3,3,0
31,7,3900,20,3,3108,564.97612,1106.822334,2902,1034,1465.47,2962,6.1271,5.47476367,16,6,6.9,2.974774,11,6,3,3,0
25,7,3850,27,3,3201,563.68763,1018.799728,2978,1034,1468.92,2962,6.3734,5.45859494,17,9,8,4.9029293,9,6,3,3,0
26,7,3810,28,3,3102,565.675427,1090.677125,2862,1034,1468.159,2962,5.3832,4.57585826,18,8,8.2,3.8474722,14,6,3,3,0
19,7,3791,24,3,3109,563.98761,1032.187323,2790,1034,1469.84,2962,6.7389,5.947483,16,6,9.5,4.262821,13,6,3,3,0
20,7,3795,24,3,3102,550.77987,1065.876647,2802,1034,1470.23,2962,7.1362,6.38932283,17,7,9.4,4.1028333,12,6,3,3,0
28,7,3900,24,3,3148,578.6523,1035.836445,2870,1034,1482.47,2962,7.3722,6.474758582,14,8,7.5,3.982822,8,6,3,3,0
26,7,3820,27,3,3215,570.51282,1024.893322,2862,1034,1489.36,2962,7.8932,6.559493,16,5,8.6,3.615522,13,6,3,3,0
29,7,3890,25,3,2962,528.86771,1060.582424,2932,1034,1479.73,2962,6.8393,5.8849485,17,6,6.7,2.383892,11,6,3,3,0
27,7,3909,25,3,3212,564.79812,1032.121218,2724,1034,1463.32,2962,5.2735,4.68949383,16,9,7.9,3.2283832,10,6,3,3,0
19,7,3791,28,3,3112,543.2387,1095.671727,2818,1034,1486.78,2962,6.938,5.944945858,19,7,9.5,4.674112,9,6,3,3,0
23,7,3807,27,3,2904,567.6542,1120.198272,2798,1034,1469.69,2962,5.3294,4.4844864,16,12,8.3,3.337762,14,6,3,3,0
31,7,3900,24,3,2990,567.2428,1059.475759,2880,1034,1463.28,2962,5.3932,4.25828992,17,8,8.5,2.993833,10,6,3,3,0
20,7,3900,25,3,3100,556.432,1170.128133,2930,1034,1470.26,2962,6.9521,5.564774478,18,6,8.3,2.784832,13,6,3,3,0
24,7,3810,25,3,3200,568.187129,1092.476263,2799,1034,1470.82,2962,6.3729,5.4573835,17,11,9.3,4.529022,9,6,3,3,0
21,7,3791,27,3,2970,556.82634,1108.762374,2840,1034,1483.24,2962,7.1932,6.61044942,15,9,8.3,3.993488,13,6,3,3,0
18,7,3755,26,3,3074,548.83981,1109.129912,2730,1034,1470.32,2962,6.3923,5.5757883,14,6,7.3,2.384482,13,6,3,3,0
19,7,3820,27,3,3102,545.78371,1020.784757,2848,1034,1462.47,2962,5.3823,4.47474733,18,8,9.4,4.9938844,16,6,3,3,0
23,7,3870,26,3,3090,560.7812,1090.198767,2842,1034,1468.69,2962,5.8373,4.347473822,15,5,7.6,3.4427728,8,6,3,3,0
23,7,3890,20,3,3104,571.1881,1108.298231,2978,1034,1469.728,2962,5.382,4.499494892,18,7,9.5,3.94822,10,6,3,3,0
20,7,3829,27,3,3153,547.82782,1068.587612,2818,1034,1464.67,2962,5.3822,4.33323398,17,10,9.1,3.97504,13,6,3,3,0
58,10,9239,22,9,7218,1571,2621,3230,3201.665,2940.882,7560,23.2,35.8,62.9,18,34.5,42.4421,51,10,5,5,0
48,10,9150,19,9,7080,1549,2640,3312,3201.665,2932.394,7560,24.6,36.7,61.5,25,33.6,41.675,53,10,5,5,0
57,10,9410,18,9,7100,1564,2592,3119,3201.665,2916.831,7560,24.2,35.9,64.5,24,34.4,42.5639,57,10,5,5,0
49,10,9200,20,9,7142,1589,2640,3410,3201.665,2942.337,7560,26.4,36.8,64.7,21,35.3,43.3471,55,10,5,5,0
52,10,9170,22,9,7218,1570,2632,3325,3201.665,2950.572,7560,24.9,36.3,64.3,18,32.4,40.5606,51,10,5,5,0
53,10,9330,23,9,7218,1567,2594,3214,3201.665,2962.483,7560,23.4,35.4,67.9,19,35.9,42.393,58,10,5,5,0
51,10,9150,21,9,6908,1568,2710,3130,3201.665,2935.927,7560,25.9,36.2,63.5,21,34.5,41.9303,47,10,5,5,0
45,10,9110,20,9,7045,1567,2632,3342,3201.665,2946.839,7560,23.5,35.5,68.2,20,35.7,40.7449,52,10,5,5,0
48,10,9200,18,9,7092,1590,2621,3250,3201.665,2951.438,7560,21.5,33.4,62.4,21,33.2,39.3032,50,10,5,5,0
48,10,9190,17,9,7230,1609,2676,3410,3201.665,2929.915,7560,25.3,35.9,67.3,24,35.8,42.3938,55,10,5,5,0
46,10,9150,19,9,7006,1548,2624,3405,3201.665,2960.473,7560,22.2,34.4,69.4,17,36.4,44.2744,52,10,5,5,0
51,10,9213,18,9,7240,1617,2593,3214,3201.665,2948.485,7560,23.5,35.7,60.4,22,32.6,42.2838,56,10,5,5,0
52,10,9200,23,9,7090,1564,2578,3350,3201.665,2957.723,7560,21.4,32.8,65.3,20,34.5,40.1902,52,10,5,5,0
52,10,9260,21,9,7120,1602,2614,3295,3201.665,2936.271,7560,24.2,36.1,65.8,18,34.2,42.934,48,10,5,5,0
18,7,3884,37,3,3102,554.8571429,1078.129156,2962,1034,1669.70177,2962,7.16,13.3,34,5,19.2,20.94112,45,6,3,3,0
29,7,3709,29,3,3102,528.8972,1078.45328,2912,1034,1662.474982,2962,6.38,12.7,35,7,18.4,21.39931,52,6,3,3,0
22,7,3809,32,3,2890,543.17823,1078.118443,2865,1034,1667.484742,2962,7.37,13.6,33,3,17.4,18.7822,54,6,3,3,0
21,7,3810,35,3,3095,540.3489,1078.212176,2870,1034,1657.46457,2962,6.92,12.6,31,5,16.7,17.3302,51,6,3,3,0
20,7,3984,32,3,3230,541.18912,1078.144563,2982,1034,1645.836892,2962,6.32,11.8,37,8,18.5,20.9384,48,6,3,3,0
26,7,3900,37,3,3096,554.19822,1084.399864,2826,1034,1656.532497,2962,7.38,14.2,36,4,19.6,21.4841,53,6,3,3,0
30,7,3903,36,3,3108,543.3463,1090.168765,2978,1034,1661.445328,2962,7.24,13.8,37,3,17.6,18.393,55,6,3,3,0
27,7,3907,38,3,3102,559.787876,1096.165223,2820,1034,1646.374648,2962,6.38,12.6,35,5,18.4,16.9392,52,6,3,3,0
31,7,3907,34,3,3206,563.6179,1088.212726,2848,1034,1647.738693,2962,6.53,12.6,37,7,17.5,17.3943,50,6,3,3,0
20,7,3887,36,3,3202,555.7129,1047.614912,2902,1034,1644.811297,2962,8.18,13.4,38,4,17.9,17.7864,49,6,3,3,0
21,7,3820,26,3,3106,565.2873,1060.553422,2972,1034,1689.77237,2962,7.38,13.8,32,6,16.6,17.3026,52,6,3,3,0
34,7,3910,28,3,3208,570.8862,1078.288766,2862,1034,1669.70177,2962,7.39,13.3,35,8,15.8,16.9832,55,6,3,3,0
25,7,3902,32,3,3402,567.88921,1095.126555,2922,1034,1643.665794,2962,6.39,12.4,39,6,18.7,20.5928,50,6,3,3,0
25,7,3807,35,3,3203,540.78991,1120.591222,2845,1034,1648.437542,2962,7.34,13.9,38,4,18.7,21.3392,52,6,3,3,0
24,7,3880,36,3,3003,549.27127,1108.165644,2850,1034,1660.768593,2962,7.21,13.5,40,9,19.5,21.8953,52,6,3,3,0
23,7,3850,33,3,3404,537.9842,1078.988785,2862,1034,1662.432714,2962,6.84,12.4,37,6,18,18.3939,53,6,3,3,0
28,7,3920,33,3,3020,571.24792,1078.132112,2907,1034,1669.199577,2962,6.64,12.8,37,5,18.5,18.3302,51,6,3,3,0
32,7,3890,34,3,3272,556.432,1070.332114,2834,1034,1647.765322,2962,6.92,12.5,39,7,19.4,21.9384,55,6,3,3,0
19,7,3795,34,3,3104,568.187129,1181.329888,2818,1034,1667.522428,2962,7.48,13.4,34,7,17,18.4841,51,6,3,3,0
33,7,3900,37,3,3102,556.82634,1042.332125,2808,1034,1660.545857,2962,7.11,12.8,36,7,18.6,19.8392,58,6,3,3,0
32,7,3900,35,3,3204,548.83981,1073.239372,2950,1034,1675.922418,2962,8.3,13.9,38,5,20.2,19.1094,46,6,3,3,0
23,7,3790,32,3,3170,545.78371,1087.665451,2950,1034,1648.652981,2962,6.49,12.4,34,5,19.4,17.3381,50,6,3,3,0
27,7,3909,36,3,3010,560.7812,1078.888761,2799,1034,1650.776182,2962,6.87,12.4,37,8,18.7,19.4832,54,6,3,3,0
32,7,3902,35,3,3102,571.1881,1089.536472,2848,1034,1656.297822,2962,6.37,11.9,38,5,19.4,20.7039,55,6,3,3,0
27,7,3887,38,3,3102,547.82782,1089.511218,2820,1034,1663.413393,2962,7.18,13.5,33,5,17.4,17.3342,52,6,3,3,0
20,7,3820,36,3,3202,557.176543,1078.198409,2992,1034,1648.282915,2962,6.38,12.2,32,7,16.7,19.8931,50,6,3,3,0
27,7,3910,32,3,2914,563.942912,1107.933211,2820,1034,1657.568218,2962,7.7,13.2,37,4,18.5,21.4841,51,6,3,3,0
24,7,3809,35,3,3112,541.178971,1078.76722,2848,1034,1669.772133,2962,8.46,14.8,38,8,19.6,18.393,48,6,3,3,0
26,7,3807,37,3,3300,581.98721,1109.198812,2902,1034,1658.489437,2962,7.95,14.2,36,7,18.6,16.9392,45,6,3,3,0
29,7,3900,35,3,3270,543.2898,1050.821298,2978,1034,1654.812395,2962,6.49,12.2,39,9,18.4,17.3943,52,6,3,3,0
23,7,3850,26,3,3175,552.976281,1060.82446,2929,1034,1646.947577,2962,5.18,11.2,34,5,17.5,17.7864,51,6,3,3,0
29,7,3910,31,3,3004,540.12219,1060.818776,2790,1034,1665.832911,2962,5.39,11.5,33,7,17.3,18.3931,50,6,3,3,0
28,7,3901,32,3,3102,572.9465,1069.443193,2802,1034,1672.927333,2962,5.68,11.8,32,7,16.6,17.3802,48,6,3,3,0
21,7,3795,38,3,3202,573.1498729,1062.455128,2870,1034,1663.438317,2962,6.2,12.4,38,7,20.1,20.5301,53,6,3,3,0
21,7,3900,36,3,3304,572.165433,1107.179798,2862,1034,1659.44737,2962,5.74,11.9,36,8,18.7,22.3022,53,6,3,3,0
29,7,3820,37,3,3053,564.8982429,1052.117665,2972,1034,1669.484743,2962,6.92,13.4,39,9,19.4,19.4423,52,6,3,3,0
27,7,3790,35,3,3203,550.272198,1029.512289,2724,1034,1643.829233,2962,6.39,12.6,38,10,19.5,18.5922,50,6,3,3,0
28,7,3902,32,3,3802,572.928178,1035.711982,2818,1034,1668.121562,2962,5.87,12.1,40,12,20,19.1493,49,6,3,3,0
23,7,3890,27,3,3400,549.1482,1059.829112,2798,1034,1660.768593,2962,7.9,13.7,38,10,21.5,21.9384,50,6,3,3,0
21,7,3820,29,3,3203,549.781262,1076.412349,2880,1034,1662.488114,2962,6.38,12.5,35,11,19.4,20.1392,55,6,3,3,0
26,7,3910,33,3,3004,570.72121,1072.121745,2930,1034,1662.193736,2962,5.37,11.2,34,8,17,19.9722,53,6,3,3,0
25,7,3809,33,3,3031,540.178699,1065.299921,2909,1034,1653.829332,2962,7.2,13.5,35,7,19.4,19.1374,52,6,3,3,0
23,7,3807,37,3,3215,556.82227,1010.113312,2840,1034,1667.519246,2962,5.63,11.9,36,10,18.3,21.7672,54,6,3,3,0
21,7,3870,36,3,3102,532.129942,1020.322449,2840,1034,1664.485767,2962,5.4,12.1,39,9,19.4,21.7242,52,6,3,3,0
25,7,3850,38,3,3154,561.796532,1106.822334,2848,1034,1651.473342,2962,7.18,13.4,35,6,18.5,20.9011,48,6,3,3,0
23,7,3910,37,3,3104,548.452132,1022.421781,2842,1034,1656.677218,2962,6.52,12.3,40,8,20.4,21.3778,56,6,3,3,0
21,7,3791,29,3,3278,560.112879,1030.191176,2915,1034,16730.47899,2962,7.5,13.8,35,9,18.7,19.831,52,6,3,3,0
28,7,3905,27,3,3100,553.638974,1010.129912,2918,1034,1656.297822,2962,6.97,13.1,37,8,19.4,19.4872,50,6,3,3,0
41,7,3900,28,3,2960,542.88871,1020.984437,2820,1034,1673.46262,2962,6.8,13.3,38,6,18.1,18.1821,55,6,3,3,0
32,7,3820,36,3,3102,549.79273,1025.912432,2848,1034,1648.781621,2962,5.75,12.7,38,14,16.7,20.4011,47,6,3,3,0
21,7,3850,36,3,3202,560.8977812,1060.282762,2906,1034,1652.261529,2962,7.62,14.2,36,11,18.5,19.8871,51,6,3,3,0
32,7,3910,33,3,2994,569.192211,1016.53388,2972,1034,1668.737245,2962,6.2,12.6,37,10,19.3,21.9732,54,6,3,3,0
32,7,3809,36,3,3102,549.8298775,1015.344989,2862,1034,16743.6113,2962,5.68,11.7,36,9,18.6,19.3553,49,6,3,3,0
35,7,3901,32,3,3184,551.198873,1025.887827,2790,1034,1660.729334,2962,5.3,11.3,37,7,18.6,20.7491,50,6,3,3,0
37,7,3900,37,3,3280,549.677891,1108.817272,2845,1034,1660.655833,2962,5.85,11.9,34,12,17.3,17.3144,53,6,3,3,0
21,7,3850,35,3,3175,549.1981971,1012.117763,2850,1034,1662.954567,2962,6.82,13.5,37,9,19.4,19.3839,55,6,3,3,0
20,7,3800,36,3,3014,581.982291,1106.822334,2792,1034,1669.16479,2962,7.91,14.8,32,5,16.6,19.5301,54,6,3,3,0
38,7,3901,38,3,3102,559.5622157,1018.799728,2907,1034,1663.456765,2962,6.4,12.3,39,8,20.1,22.2905,51,6,3,3,0
31,7,3795,35,3,3190,569.172111,1090.677125,2834,1034,1658.567543,2962,6.28,12.3,35,6,18.9,20.4942,53,6,3,3,0
21,7,3805,36,3,3104,581.7598921,1025.887827,2818,1034,1671.976546,2962,6.74,13.5,37,11,19.4,19.2921,56,6,3,3,0
24,7,3820,37,3,3101,565.19899,1087.854131,2748,1034,1660.696112,2962,6.81,13.1,37,6,18.9,20.6271,51,6,3,3,0
18,7,3700,32,3,2980,543.554321,1109.575655,2860,1034,1659.99653,2962,5.83,12.2,36,10,17.3,18.1637,54,6,3,3,0
26,7,3902,34,3,3014,541.22971,1060.182724,2750,1034,1655.188782,2962,6.3,11.9,41,9,21.9,21.9732,44,6,3,3,0
